district,fiscal_year,year,month,date,remittance_musd,source_pdf
Patuakhali,FY2024-25,2025,1,2025-01,6.6,report_june2025.pdf
Pirojpur,FY2024-25,2025,1,2025-01,8.57,report_june2025.pdf
Rajbari,FY2024-25,2025,1,2025-01,9.11,report_june2025.pdf
Rajshahi,FY2024-25,2025,1,2025-01,9.29,report_june2025.pdf
Rangamati,FY2024-25,2025,1,2025-01,1.54,report_june2025.pdf
Rangpur,FY2024-25,2025,1,2025-01,11.01,report_june2025.pdf
Satkhira,FY2024-25,2025,1,2025-01,7.26,report_june2025.pdf
Shariatpur,FY2024-25,2025,1,2025-01,21.39,report_june2025.pdf
Sherpur,FY2024-25,2025,1,2025-01,2.74,report_june2025.pdf
Sirajganj,FY2024-25,2025,1,2025-01,8.05,report_june2025.pdf
Sunamganj,FY2024-25,2025,1,2025-01,26.65,report_june2025.pdf
Sylhet,FY2024-25,2025,1,2025-01,95.89,report_june2025.pdf
Tangail,FY2024-25,2025,1,2025-01,44.02,report_june2025.pdf
Thakurgaon,FY2024-25,2025,1,2025-01,2.98,report_june2025.pdf
Bagerhat,FY2024-25,2025,2,2025-02,8.22,report_june2025.pdf
Bandarban,FY2024-25,2025,2,2025-02,3.12,report_june2025.pdf
Barguna,FY2024-25,2025,2,2025-02,8.65,report_june2025.pdf
Barisal,FY2024-25,2025,2,2025-02,31.87,report_june2025.pdf
Bhola,FY2024-25,2025,2,2025-02,13.54,report_june2025.pdf
Bogura,FY2024-25,2025,2,2025-02,15.51,report_june2025.pdf
Brahmanbaria,FY2024-25,2025,2,2025-02,73.63,report_june2025.pdf
Chandpur,FY2024-25,2025,2,2025-02,76.83,report_june2025.pdf
Chapainawabganj,FY2024-25,2025,2,2025-02,11.39,report_june2025.pdf
Chattogram,FY2024-25,2025,2,2025-02,213.01,report_june2025.pdf
Chuadanga,FY2024-25,2025,2,2025-02,9.77,report_june2025.pdf
Comilla,FY2024-25,2025,2,2025-02,131.31,report_june2025.pdf
Coxsbazar,FY2024-25,2025,2,2025-02,15.56,report_june2025.pdf
Dhaka,FY2024-25,2025,2,2025-02,800.14,report_june2025.pdf
Dinajpur,FY2024-25,2025,2,2025-02,9.54,report_june2025.pdf
Faridpur,FY2024-25,2025,2,2025-02,31.16,report_june2025.pdf
Feni,FY2024-25,2025,2,2025-02,81.78,report_june2025.pdf
Gaibandha,FY2024-25,2025,2,2025-02,5.97,report_june2025.pdf
Gazipur,FY2024-25,2025,2,2025-02,42.08,report_june2025.pdf
Gopalganj,FY2024-25,2025,2,2025-02,27.16,report_june2025.pdf
Habiganj,FY2024-25,2025,2,2025-02,29.58,report_june2025.pdf
Jamalpur,FY2024-25,2025,2,2025-02,15.07,report_june2025.pdf
Jashore,FY2024-25,2025,2,2025-02,17.23,report_june2025.pdf
Jhalokati,FY2024-25,2025,2,2025-02,7.66,report_june2025.pdf
Jhenaidah,FY2024-25,2025,2,2025-02,10.37,report_june2025.pdf
Joypurhat,FY2024-25,2025,2,2025-02,3.47,report_june2025.pdf
Khagrachhari,FY2024-25,2025,2,2025-02,4.81,report_june2025.pdf
Khulna,FY2024-25,2025,2,2025-02,12.83,report_june2025.pdf
Kishoreganj,FY2024-25,2025,2,2025-02,39.94,report_june2025.pdf
Kurigram,FY2024-25,2025,2,2025-02,4.6,report_june2025.pdf
Kushtia,FY2024-25,2025,2,2025-02,18.8,report_june2025.pdf
Lakshmipur,FY2024-25,2025,2,2025-02,42.7,report_june2025.pdf
Lalmonirhat,FY2024-25,2025,2,2025-02,1.74,report_june2025.pdf
Madaripur,FY2024-25,2025,2,2025-02,38.46,report_june2025.pdf
Magura,FY2024-25,2025,2,2025-02,6.28,report_june2025.pdf
Manikganj,FY2024-25,2025,2,2025-02,27.2,report_june2025.pdf
Meherpur,FY2024-25,2025,2,2025-02,9.65,report_june2025.pdf
