district,fiscal_year,remittance_musd,source_pdf
Kushtia,FY2019-20,138.6,report_june2025.pdf
Lakshmipur,FY2019-20,372.1,report_june2025.pdf
Lalmonirhat,FY2019-20,16.6,report_june2025.pdf
Madaripur,FY2019-20,204.1,report_june2025.pdf
Magura,FY2019-20,45.5,report_june2025.pdf
Manikganj,FY2019-20,266.6,report_june2025.pdf
Meherpur,FY2019-20,72.4,report_june2025.pdf
Moulvibazar,FY2019-20,379.4,report_june2025.pdf
Munshiganj,FY2019-20,343.1,report_june2025.pdf
Mymensingh,FY2019-20,228.0,report_june2025.pdf
Naogaon,FY2019-20,94.0,report_june2025.pdf
Narail,FY2019-20,43.6,report_june2025.pdf
Narayanganj,FY2019-20,391.8,report_june2025.pdf
Narsingdi,FY2019-20,346.2,report_june2025.pdf
Natore,FY2019-20,52.8,report_june2025.pdf
Netrokona,FY2019-20,46.6,report_june2025.pdf
Nilphamari,FY2019-20,51.1,report_june2025.pdf
Noakhali,FY2019-20,596.6,report_june2025.pdf
Pabna,FY2019-20,138.2,report_june2025.pdf
Panchagarh,FY2019-20,12.9,report_june2025.pdf
Patuakhali,FY2019-20,52.7,report_june2025.pdf
Pirojpur,FY2019-20,80.7,report_june2025.pdf
Rajbari,FY2019-20,79.9,report_june2025.pdf
Rajshahi,FY2019-20,97.4,report_june2025.pdf
Rangamati,FY2019-20,22.3,report_june2025.pdf
Rangpur,FY2019-20,69.1,report_june2025.pdf
Satkhira,FY2019-20,87.3,report_june2025.pdf
Shariatpur,FY2019-20,175.2,report_june2025.pdf
Sherpur,FY2019-20,29.7,report_june2025.pdf
Sirajganj,FY2019-20,92.9,report_june2025.pdf
Sunamganj,FY2019-20,223.4,report_june2025.pdf
Sylhet,FY2019-20,1032.9,report_june2025.pdf
Tangail,FY2019-20,429.8,report_june2025.pdf
Thakurgaon,FY2019-20,19.3,report_june2025.pdf
Bagerhat,FY2020-21,65.6,report_june2025.pdf
Bandarban,FY2020-21,25.7,report_june2025.pdf
Barguna,FY2020-21,64.5,report_june2025.pdf
Barisal,FY2020-21,255.5,report_june2025.pdf
Bhola,FY2020-21,106.2,report_june2025.pdf
Bogura,FY2020-21,218.2,report_june2025.pdf
Brahmanbaria,FY2020-21,787.3,report_june2025.pdf
Chandpur,FY2020-21,618.6,report_june2025.pdf
