date,plant,producer,units,installed_mw,present_mw,peak_mw,energy_kwh,remarks
2024-12-31,Fenchugonj CCPP Phase-2,PDB,2*35+1*35,105.0,90.0,0.0,0.0,Default availability set by nldc
2024-12-31,Feni Lanka Power,IPP,7*18.415+1*9.78,138.685,114.0,0.0,0.0,Default availability set by nldc
2024-12-31,Gagnagar 102 MW PP (Digital Power),IPP,12*8.924,107.088,102.0,0.0,562.0,Default availability set by nldc
2024-12-31,Gazipur 100 MW PP,RPCL,6*17.5,105.0,105.0,70.0,755021.0,-
2024-12-31,Gazipur 52 MW PP,RPCL,6*8.9,53.4,52.0,17.0,245280.0,Liquid fuel shortage
2024-12-31,Ghorasal 365 MW CCPP Unit-7,PDB,1*243+1*122,365.0,365.0,0.0,0.0,HGPI Maintenance Work is going on.
2024-12-31,Ghorasal Repowered CCPP Unit-3,PDB,1*260,260.0,260.0,0.0,0.0,GT is under maintenance
2024-12-31,Ghorasal Repowered CCPP Unit-4,PDB,1*210,210.0,234.58,0.0,0.0,-
2024-12-31,Ghorasal TPP Unit-5,PDB,1*210,210.0,190.0,0.0,0.0,Default availability set by nldc
2024-12-31,Ghorashal 108 MW PP (Regent),IPP,34*3.35,113.9,108.0,0.0,0.0,"Demand ""0"" due to gas shortage"
2024-12-31,Gopalganj 100 MW Peaking PP,PDB,16*6.98,111.68,109.0,0.0,0.0,Default availability set by nldc
2024-12-31,HVDC(Nepal),Import,1*40,40.0,40.0,0.0,0.0,Default availability set by nldc
2024-12-31,Haripur 360 MW CCPP (HPL),IPP,1*235+1*125,360.0,360.0,0.0,0.0,-
2024-12-31,Haripur 412 MW CCPP,EGCB,1*273+1*139,412.0,412.0,294.0,6940800.0,-
2024-12-31,Haripur GTPP,"SBU,PDB",32*2,64.0,20.0,0.0,0.0,Default availability set by nldc
2024-12-31,Hathazari 100 MW peaking PP,PDB,11*8.9,97.9,98.0,0.0,0.0,machine problem
2024-12-31,Hobiganj 11MW PP Cofidence-E,"SIPP,REB",4*2.90,11.6,11.0,2.0,55536.0,Default availability set by nldc
2024-12-31,Import (Tripura),Import,0,0.0,160.0,60.0,1222080.0,Default availability set by nldc
2024-12-31,Intraco Solar 30 MW,IPP,1*30,30.0,30.0,0.0,100938.0,Default availability set by nldc
2024-12-31,JERA Meghnaghat Power Limited,IPP,250*2+268,500.0,718.0,0.0,0.0,Default availability set by nldc
2024-12-31,Jamalpur 115 MW PP (United),IPP,9.78*12,117.36,115.0,60.0,654000.0,-
2024-12-31,Jangalia 52 MW PP (Lakdanavi),IPP,6*8.92,53.52,52.2,8.0,9072.0,Default availability set by nldc
2024-12-31,Jodiac Power,IPP,3*18.55+1*3.6,59.25,54.36,0.0,22933.0,Default availability set by nldc
2024-12-31,Juldah 100 MW PP Unit-3 (Acorn),IPP,8*13.5,108.0,100.0,0.0,0.0,Default availability set by nldc
2024-12-31,Juldah unit-2 (Acorn),IPP,8*13.6,108.8,100.0,0.0,0.0,Default availability set by nldc
2024-12-31,Kamalaghat 54 MW PP(Banco Energy),IPP,3*18,54.0,54.0,14.0,20520.0,-
2024-12-31,Kanchan Purbachal Power Generation Ltd.,IPP,18.4*3,55.2,36.09,17.0,220680.0,Alternator-03 under maintenace
2024-12-31,Kaptai 7 MW Solar PP,PDB,0,0.0,7.0,0.0,19461.0,Default availability set by nldc
2024-12-31,"Karnaphuli Hydro PP Unit-1,2,3,4, 5",PDB,2*40+3*50,230.0,230.0,26.0,762840.0,Default availability set by nldc
2024-12-31,Karnaphuli Power Ltd.,IPP,18.415*6+6.5,110.49,110.0,0.0,0.0,Default availability set by nldc
2024-12-31,Katakhali 50 MW Peaking PP,PDB,6*8.7,52.2,50.0,0.0,0.0,-
2024-12-31,Keraniganj 100 MW PP (Powerpac),QRPP,8*13.45,107.6,20.0,0.0,0.0,-
2024-12-31,Khulna 225 MW CCPP,NWPGCL,1X150+1X75,225.0,230.0,0.0,0.0,Default availability set by nldc
2024-12-31,Khulna 330 MW CCPP,PDB,1*220+1*110,330.0,336.0,0.0,0.0,Default availability set by nldc
2024-12-31,Kodda 149 MW PP Unit-1 (Summit),IPP,8*18.45+8.97,147.6,149.0,0.0,0.0,Default availability set by nldc
2024-12-31,Kodda 150 MW PP B-R,PDB-RPCL,9*17.06,153.54,149.0,32.0,242400.0,Default availability set by nldc
2024-12-31,Kodda 300 MW PP Unit-2 (Summit),IPP,18*17.06,307.08,300.0,0.0,0.0,Default availability set by nldc
2024-12-31,Kushiara 163 MW CCPP (KP),IPP,1*109+1*54,163.0,163.0,120.0,3439964.0,Default availability set by nldc
2024-12-31,Madanganj-55 MW PP(Summit),IPP,3*17+1*11.3,62.3,55.0,0.0,0.0,Default availability set by nldc
2024-12-31,Madhumati 100 MW PP,NWPGCL,6*18,108.0,105.0,0.0,0.0,Liquid fuel shortage
2024-12-31,"Malancha, Ctg. EPZ (United)",IPP,5*8.73+3*9.34,71.67,33.0,14.0,509280.0,Default availability set by nldc
2024-12-31,Manikganj 55 MW PP (Northern),IPP,19.3*3,57.9,55.0,0.0,0.0,Default availability set by nldc
2024-12-31,Manikgonj 162MW PP(MPGL),IPP,9*18,162.0,162.0,17.0,33120.0,Default availability set by nldc
2024-12-31,Maona 33 MW PP(Summit),IPP,4*8.73,34.92,33.0,22.0,522720.0,Default availability set by nldc
2024-12-31,Matarbari 2*600 MW (CPGCBL),CPGCL,2*600,1200.0,1150.0,575.0,10436363.6,U1 S/D 09/Oct/24 (Maintenance Work)
2024-12-31,Meghnaghat 104 MW PP (OPCL),IPP,6*18.5,111.0,104.0,0.0,0.0,Liquid fuel shortage
2024-12-31,Meghnaghat 450 MW CCPP (MPL),IPP,2*150+1*150,450.0,450.0,330.0,7618000.0,-
2024-12-31,Meghnaghat CCPP(Summit),IPP,2*110+1*110,330.0,335.0,0.0,0.0,-
2024-12-31,Meghnaghat CCPP(Summit)-2,IPP,0,0.0,583.0,0.0,0.0,Gas shortage
2024-12-31,Mirsharai 150 MW,IPP,18.5*9,166.5,159.86,0.0,0.0,-
2024-12-31,Mongla Orion 100 MW Solar PP,IPP,100,100.0,100.0,0.0,435600.0,Default availability set by nldc
2024-12-31,Mymensingh 200 MW PP (United),IPP,9.78*21,205.38,200.0,55.0,369600.0,-
2024-12-31,Nababganj 55 MW PP (Southern power ),IPP,19.3*3,57.9,55.0,17.0,46880.0,Default availability set by nldc
2024-12-31,Natore 52 MW PP (Rajlanka),IPP,6*8.92,53.52,52.0,0.0,0.0,-
2024-12-31,Pabna Solar 100 MW,IPP,0,0.0,100.0,0.0,47022.0,Default availability set by nldc
2024-12-31,Patenga 50MW PP (Baraka),IPP,8*6.98,55.84,50.0,18.0,20160.0,Default availability set by nldc
2024-12-31,Payra 1320 MW,BCPCL,2*622,1244.0,1244.0,400.0,9786181.82,-
2024-12-31,RPCL 210MW CCPP,RPCL,4*35+1*70,210.0,210.0,4.0,81600.0,Low gas pressure
2024-12-31,Rampal 1320 MW (BIFPCL),PDB,660*2,1320.0,1234.0,1157.0,21432730.0,-
2024-12-31,Rangpur 113 MW PP (Confidence),IPP,9*6.984+7*7.015+3.15*2,118.261,113.0,0.0,0.0,-
2024-12-31,Rangpur 20 MW GTPP,PDB,1*20,20.0,20.0,0.0,0.0,Default availability set by nldc
2024-12-31,Raozan 25 MW PP,IPP,3*8.9,26.7,25.0,0.0,0.0,-
2024-12-31,Rupganj 33 MW PP(Summit),IPP,4*8.73,34.92,33.0,20.0,585500.0,Low gas pressure
2024-12-31,Rupsha 105 MW PP (Orion rupsha),IPP,6*18.445,110.67,105.0,0.0,0.0,Liquid fuel shortage
2024-12-31,SS Power,IPP,2*660,1320.0,1320.0,606.0,9883635.0,Partial Shutdown due to maintenance
2024-12-31,Saidpur 20 MW GTPP,PDB,1*20,20.0,20.0,0.0,0.0,Default availability set by nldc
2024-12-31,Santahar 50 MW Peaking PP,PDB,6*8.7,52.2,50.0,0.0,0.0,Default availability set by nldc
2024-12-31,Sarishabari 3 MW Solar Plant,IPP,0,0.0,3.0,0.0,4500.0,Default availability set by nldc
