date,plant,fuel,producer,units,installed_mw,present_mw,actual_day,actual_evening,forecast_day,forecast_evening,effective_day,effective_evening,remarks
2022-09-10,Faridpur 50 MW Peaking PP,HFO,PDB,8*6.89,55.12,54.0,0.0,0.0,25.0,25.0,25.0,25.0,Liquid fuel shortage
2022-09-10,Fenchugonj CCPP Phase-1,Gas,PDB,2*32+1*33,97.0,90.0,40.0,40.0,41.0,41.0,40.0,40.0,-
2022-09-10,Fenchugonj CCPP Phase-2,Gas,PDB,2*35+1*35,105.0,90.0,39.0,39.0,0.0,0.0,39.0,39.0,-
2022-09-10,Feni Lanka Power,HFO,IPP,7*18.415+1*9.78,138.685,114.0,17.0,103.0,114.0,114.0,17.0,17.0,Liquid fuel shortage
2022-09-10,Gagnagar 102 MW PP (Digital Power),HFO,IPP,12*8.924,107.088,102.0,0.0,0.0,102.0,102.0,0.0,0.0,Liquid fuel shortage
2022-09-10,Gazipur 100 MW PP,HFO,RPCL,6*17.5,105.0,105.0,35.0,52.0,105.0,105.0,34.0,70.0,Liquid fuel shortage
2022-09-10,Gazipur 52 MW PP,HFO,RPCL,6*8.9,53.4,52.194,16.0,25.0,52.19,52.19,16.0,25.0,Liquid fuel shortage
2022-09-10,Ghorasal 365 MW CCPP Unit-7,Gas,PDB,1*243+1*122,365.0,365.0,0.0,0.0,260.0,260.0,0.0,0.0,Gas shortage
2022-09-10,Ghorasal Repowered CCPP Unit-3,Gas,PDB,1*260,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,Gas shortage
2022-09-10,Ghorasal Repowered CCPP Unit-4,Gas,PDB,1*210,210.0,240.0,0.0,0.0,230.0,230.0,0.0,0.0,Gas shortage
2022-09-10,Ghorasal TPP Unit-5,Gas,PDB,1*210,210.0,190.0,0.0,0.0,190.0,190.0,0.0,0.0,Gas shortage
2022-09-10,Ghorashal 108 MW PP (Regent),Gas,IPP,34*3.35,113.9,100.22,0.0,0.0,100.22,100.22,0.0,0.0,Gas (RMS) problem
2022-09-10,Gopalganj 100 MW Peaking PP,HFO,PDB,16*6.98,111.68,109.0,31.0,44.0,50.0,50.0,50.0,50.0,Liquid fuel shortage
2022-09-10,HVDC(Nepal),Import,Import,1*40,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,-
2022-09-10,Haripur 360 MW CCPP (HPL),Gas,IPP,1*235+1*125,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired
2022-09-10,Haripur 412 MW CCPP,Gas,EGCB,1*273+1*139,412.0,412.0,372.0,411.0,412.0,412.0,412.0,412.0,AGC
2022-09-10,Haripur GTPP,Gas,"SBU,PDB",32*2,64.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2022-09-10,Hathazari 100 MW peaking PP,HFO,PDB,11*8.9,97.9,98.0,23.0,52.0,24.0,50.0,14.0,32.0,Liquid fuel shortage
2022-09-10,Import (Tripura),Import,Import,,,160.0,158.0,180.0,84.0,78.0,160.0,160.0,-
2022-09-10,Intraco Solar 30 MW,Solar,IPP,1*30,30.0,30.0,24.0,0.0,30.0,0.0,30.0,0.0,-
2022-09-10,JERA Meghnaghat Power Limited,Gas,IPP,250*2+268,500.0,718.0,0.0,0.0,718.0,718.0,0.0,0.0,Gas shortage
2022-09-10,Jamalpur 115 MW PP (United),HFO,IPP,9.78*12,117.36,115.0,58.0,95.0,60.0,90.0,60.0,90.0,Liquid fuel shortage
2022-09-10,Jangalia 52 MW PP (Lakdanavi),HFO,IPP,6*8.92,53.52,52.2,8.0,8.0,52.2,52.2,8.0,52.2,-
2022-09-10,Jodiac Power,HFO,IPP,3*18.55+1*3.6,59.25,54.363,0.0,17.0,54.36,54.36,0.0,17.0,Liquid fuel shortage
2022-09-10,Juldah 100 MW PP Unit-3 (Acorn),HFO,IPP,8*13.5,108.0,100.0,50.0,100.0,100.0,100.0,50.0,100.0,-
2022-09-10,Juldah unit-2 (Acorn),HFO,IPP,8*13.6,108.8,100.0,50.0,79.0,100.0,100.0,37.0,100.0,-
2022-09-10,Kamalaghat 54 MW PP(Banco Energy),HFO,IPP,3*18,54.0,53.97,17.0,54.0,53.97,53.97,35.0,53.0,-
2022-09-10,Kanchan Purbachal Power Generation Ltd.,HFO,IPP,18.4*3,55.2,55.0,0.0,0.0,55.0,55.0,0.0,0.0,Liquid fuel shortage
2022-09-10,Kaptai 7 MW Solar PP,Solar,PDB,,,6.0,2.25,0.0,5.2,0.0,5.2,0.0,-
2022-09-10,"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,PDB,2*40+3*50,230.0,230.0,222.0,221.0,222.0,222.0,222.0,222.0,-
2022-09-10,Karnaphuli Power Ltd.,HFO,IPP,18.415*6+6.5,110.49,110.0,17.0,17.0,110.0,110.0,17.0,17.0,Liquid fuel shortage
2022-09-10,Katakhali 50 MW Peaking PP,HFO,PDB,6*8.7,52.2,50.0,15.0,28.0,32.0,32.0,32.0,32.0,Partial Shutdown due to maintenance
2022-09-10,Khulna 225 MW CCPP,HSD/Gas,NWPGCL,1X150+1X75,225.0,230.0,92.0,97.0,230.0,230.0,230.0,230.0,-
2022-09-10,Khulna 330 MW CCPP,HSD/Gas,PDB,1*220+1*110,330.0,336.0,0.0,237.0,220.0,220.0,220.0,220.0,-
2022-09-10,Kodda 149 MW PP Unit-1 (Summit),HFO,IPP,8*18.45+8.97,147.6,149.0,17.0,97.0,149.0,149.0,17.0,35.0,Liquid fuel shortage
2022-09-10,Kodda 150 MW PP BRPL,HFO,PDB-RPCL,9*17.06,153.54,149.36,30.0,30.0,149.36,149.36,32.0,32.0,Liquid fuel shortage
2022-09-10,Kodda 300 MW PP Unit-2 (Summit),HFO,IPP,18*17.06,307.08,300.0,31.0,31.0,300.0,300.0,32.0,32.0,Liquid fuel shortage
2022-09-10,Kushiara 163 MW CCPP (KP),Gas,IPP,1*109+1*54,163.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,Major Inspection
2022-09-10,Madanganj-55 MW PP(Summit),HFO,IPP,3*17+1*11.3,62.3,55.0,15.0,55.0,55.0,55.0,15.0,15.0,Liquid fuel shortage
2022-09-10,Madhumati 100 MW PP,HFO,NWPGCL,6*18,108.0,105.0,0.0,67.0,105.0,105.0,0.0,32.0,Liquid fuel shortage
2022-09-10,"Malancha, Ctg. EPZ (United)",Gas,IPP,5*8.73+3*9.34,71.67,42.0,2.0,6.0,42.0,42.0,42.0,42.0,-
2022-09-10,Manikganj 55 MW PP (Northern),HFO,IPP,19.3*3,57.9,55.0,0.0,55.0,55.0,55.0,35.0,55.0,-
2022-09-10,Manikgonj 162MW PP(MPGL),HFO,IPP,9*18,162.0,162.0,35.0,162.0,162.0,162.0,54.0,162.0,-
2022-09-10,Matarbari 2*600 MW (CPGCBL),Coal,CPGCL,2*600,1200.0,1150.0,1130.0,1130.0,1150.0,1150.0,1130.0,1130.0,Machine Problem
2022-09-10,Meghnaghat 104 MW PP (OPCL),HFO,IPP,6*18.5,111.0,104.0,0.0,16.0,104.0,104.0,0.0,0.0,Liquid fuel shortage
2022-09-10,Meghnaghat 450 MW CCPP (MPL),Gas,IPP,2*150+1*150,450.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired
2022-09-10,Meghnaghat CCPP(Summit),Gas,IPP,2*110+1*110,330.0,335.0,144.0,139.0,335.0,335.0,335.0,335.0,FGMO
2022-09-10,Meghnaghat CCPP(Summit)-2,Gas/HSD,IPP,1*409+1*202,611.0,583.0,0.0,0.0,400.0,400.0,0.0,0.0,-
2022-09-10,Mirsharai 150 MW BRPL,HFO/Gas,IPP,18.5*9,166.5,163.0,28.0,35.0,163.0,163.0,34.0,34.0,Liquid fuel shortage
2022-09-10,Mongla Orion 100 MW Solar PP,Solar,IPP,100,100.0,100.0,67.53,0.0,87.0,0.0,87.0,0.0,-
2022-09-10,Moulvibazar 10 MW Solar Power Plant,Solar,IPP,1*10,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,-
2022-09-10,Muktagacha Solartech Energy Ltd,Solar,IPP,1*20,20.0,20.0,15.54,0.0,20.0,0.0,20.0,0.0,-
2022-09-10,Mymensingh 200 MW PP (United),HFO,IPP,9.78*21,205.38,200.0,72.0,151.0,120.0,170.0,120.0,170.0,Liquid fuel shortage
2022-09-10,Nababganj 55 MW PP (Southern power ),HFO,IPP,19.3*3,57.9,55.0,17.0,55.0,55.0,55.0,35.0,55.0,-
2022-09-10,Natore 52 MW PP (Rajlanka),HFO,IPP,6*8.92,53.52,52.2,52.2,52.2,52.2,52.2,52.2,52.2,-
2022-09-10,Pabna 64 MW Solar Plant,Solar,PDB,11*6.6,72.6,64.55,34.89,0.0,51.42,0.0,51.42,0.0,Contract Expired
2022-09-10,Pabna Solar 100 MW,Solar,IPP,,,100.0,76.0,0.0,100.0,0.0,100.0,0.0,-
2022-09-10,Patenga 50MW PP (Baraka),HFO,IPP,8*6.98,55.84,50.0,22.0,15.0,50.0,50.0,19.0,19.0,Liquid fuel shortage
2022-09-10,Patuakhali 1320 MW (RNPL),Coal,RNPL,660*2,1320.0,1170.6,850.0,540.0,800.0,800.0,700.0,700.0,Coal shortage
2022-09-10,Payra 1320 MW,Coal,BCPCL,2*622,1244.0,1163.05,570.0,570.0,580.0,580.0,580.0,580.0,Machine Problem
2022-09-10,RPCL 210MW CCPP,Gas,RPCL,4*35+1*70,210.0,210.0,0.0,0.0,210.0,210.0,0.0,0.0,Low gas pressure
2022-09-10,Rampal 1320 MW (BIFPCL),Coal,PDB,660*2,1320.0,1234.2,975.0,1100.0,1090.0,1090.0,1130.0,1130.0,Coal shortage
2022-09-10,Rangpur 113 MW PP (Confidence),HFO,IPP,9*6.984+7*7.015+3.15*2,118.261,113.0,0.0,56.0,113.0,113.0,0.0,35.0,Liquid fuel shortage
2022-09-10,Rangpur 20 MW GTPP,HSD,PDB,1*20,20.0,20.0,0.0,0.0,20.0,20.0,20.0,20.0,-
2022-09-10,Raozan 25 MW PP,HFO,IPP,3*8.9,26.7,25.5,8.0,25.5,25.5,25.5,8.0,25.5,-
2022-09-10,Rupsha 105 MW PP (Orion rupsha),HFO,IPP,6*18.445,110.67,105.0,53.0,17.0,105.0,105.0,52.0,52.0,Liquid fuel shortage
2022-09-10,SS Power,Coal,IPP,2*660,1320.0,1224.0,1190.0,1057.0,1224.0,1224.0,1224.0,1224.0,AGC+FGMO
2022-09-10,Saidpur 150 MW Simple Cycle Power Plant,HSD,PDB,1*150,150.0,162.443,0.0,165.0,0.0,0.0,0.0,0.0,-
2022-09-10,Saidpur 20 MW GTPP,HSD,PDB,1*20,20.0,20.0,0.0,0.0,14.0,14.0,14.0,14.0,-
2022-09-10,Santahar 50 MW Peaking PP,HFO,PDB,6*8.7,52.2,50.0,12.0,25.0,26.0,26.0,26.0,26.0,Engine Problem
2022-09-10,Sarishabari 3 MW Solar Plant,Solar,IPP,,,2.71,0.0,0.0,2.1,0.0,2.1,0.0,-
2022-09-10,Shahjahanulla 25 MW PP,Gas,"SIPP,REB",3*9.34,28.02,25.0,16.0,16.0,16.0,16.0,16.0,16.0,-
2022-09-10,Shahjibazar 100 MW GTPP,Gas,PDB,1*100,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,machine problem
2022-09-10,Shahjibazar 86MW PP (Shahjibazar),Gas,RPP,32*2.90,92.8,86.0,22.0,86.0,86.0,86.0,22.0,22.0,-
2022-09-10,Shahjibazar GTPP Unit- 8 & 9,Gas,PDB,2*35,70.0,66.0,0.0,0.0,30.0,30.0,0.0,0.0,Gas shortage
2022-09-10,Shajibazar 330 MW CCPP,Gas,PDB,3*110,330.0,330.0,141.0,141.0,140.0,140.0,140.0,140.0,-
2022-09-10,Siddhirganj 335 MW CCPP,Gas,EGCB,1*217+118,217.0,335.0,310.0,288.0,335.0,335.0,335.0,335.0,-
2022-09-10,Siddhirgonj 2*120 MW GTPP,Gas,EGCB,2*105,210.0,210.0,0.0,0.0,210.0,210.0,0.0,0.0,-
2022-09-10,Siddhirgonj 210 MW TPP,Gas,PDB,1*210,210.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,Under Major Overhauling
2022-09-10,Sikalbaha 105 MW PP (Baraka Sikalbaha),HFO,IPP,6*17.5,105.0,105.0,0.0,0.0,105.0,105.0,17.0,17.0,Liquid fuel shortage
2022-09-10,Sikalbaha 225MW CCPP,Gas/HSD,PDB,1*150+1*75,225.0,225.0,218.0,218.0,215.0,215.0,215.0,215.0,-
2022-09-10,Sikalbaha Peaking GT,Gas/HSD,PDB,1*150,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-
2022-09-10,Sirajganj 2 MW Wind Power Plant,Wind,PDB,0.25*8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired
2022-09-10,Sirajganj 68 MW Solar Park,Solar,IPP,,,68.0,43.47,0.0,61.0,0.0,61.0,0.0,-
2022-09-10,Sirajgonj 225MW CCPP Unit-1,Gas/HSD,NWPGCL,1*150+1*75,225.0,214.0,140.0,143.0,214.0,214.0,140.0,140.0,Gas shortage
2022-09-10,Sirajgonj 225MW CCPP Unit-2,Gas/HSD,NWPGCL,1*150+1*75,225.0,220.0,0.0,0.0,220.0,220.0,0.0,0.0,Standby @NLDC's instruction due to gas shortage
2022-09-10,Sirajgonj 225MW CCPP Unit-3,Gas/HSD,NWPGCL,1*141,141.0,220.0,0.0,0.0,220.0,220.0,0.0,0.0,Gas shortage
2022-09-10,Sirajgonj 400 MW CCPP Unit-4,Gas/HSD,NWPGCL,1*282+1*132,414.0,413.792,288.0,326.0,413.79,413.79,260.0,260.0,AGC+FGMO
2022-09-10,Sirajgonj 6.55 MW Solar,Solar,NWPGCL,,,6.12,3.9,0.0,5.5,0.0,5.5,0.0,-
2022-09-10,Sonagazi 75 MW (AC) Solar Power Plant,Solar,EGCB,,,75.0,52.0,0.0,75.0,0.0,75.0,0.0,-
2022-09-10,Spectra Solar Plant Ltd.,Solar,IPP,,,35.0,19.0,0.0,26.0,0.0,26.0,0.0,-
2022-09-10,Sreepur 150 MW PP BRPL,HFO,PDB-RPCL,9*18,162.0,160.0,17.0,105.0,143.42,143.42,34.0,143.42,Liquid fuel shortage
2022-09-10,Summit Power Ashulia,Gas,IPP,,,33.75,2.2,2.3,33.0,33.0,2.2,2.2,Low gas pressure
2022-09-10,Summit Power Madhabdi,Gas,IPP,3*3.67+4*8.73,45.93,23.0,22.0,22.0,22.0,22.0,22.0,22.0,-
2022-09-10,Sutiakhali 50 MW Solar PP,Solar,IPP,,,50.0,22.88,0.0,50.0,0.0,50.0,0.0,-
2022-09-10,Sylhet 20 MW GTPP,Gas,PDB,1*20,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,-
2022-09-10,Sylhet 225 MW CCPP,Gas,PDB,1*142+1*89,231.0,231.0,126.0,127.0,128.0,128.0,128.0,128.0,-
2022-09-10,Sympa Solar Power 8 MW,Solar,IPP,,,8.0,5.2,0.0,5.0,0.0,5.0,0.0,-
2022-09-10,Tangail Palli Power Gen 22 MW,HFO,IPP,4*6.7,26.8,22.0,12.0,12.0,22.0,22.0,12.0,12.0,Liquid fuel shortage
2022-09-10,Teesta Solar Limited,Solar,BCPCL,,,200.0,143.0,0.0,175.01,0.0,175.01,0.0,-
2022-09-10,Teknaf 20MW PP (Solartech),Solar,IPP,,,20.0,17.0,0.0,10.0,0.0,10.0,0.0,-
2022-09-10,Titas 50 MW Peaking PP,HFO,PDB,6*8.92,53.52,52.0,21.0,15.0,24.0,24.0,24.0,24.0,Liquid fuel shortage
2022-09-10,Tongi 80 MW GTPP,Gas,PDB,1* 105,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,Under Maintenance of Exciter
2022-09-10,Unique Meghnaghat Power Limited (UMPL),Gas,IPP,,,584.0,350.0,530.0,584.0,584.0,584.0,584.0,FGMO and AGC
2022-09-10,United Payra Power Ltd.,HFO,IPP,8*18.5+1*9.5,157.5,150.0,17.0,17.0,150.0,150.0,17.0,17.0,Liquid fuel shortage
